Group	Species	date	lat	lng
Eastern	Myliobatis aquila	2020-07-09T00:00:00+0000	28.919.450.525.575.700	-13.671.921.531.415.200
Central	Myliobatis aquila	2020-07-12T00:00:00+0000	27.987.886.743.569.500	-15.372.984.274.215.600
Eastern	Myliobatis aquila	2020-07-15T00:00:00+0000	28.918.259.252.099.200	-13.664.686.292.352.100
Eastern	Myliobatis aquila	2020-07-24T09:28:00+0000	28.918.700.000.000.000	-13.670.553.000.000.000
Central	Myliobatis aquila	2020-07-25T00:00:00+0000	28.029.855.106.050.100	-16.708.705.239.615.200
Eastern	Myliobatis aquila	2020-08-07T00:00:00+0000	28.918.236.050.700.700	-13.662.890.813.031.400
Eastern	Myliobatis aquila	2020-08-07T00:00:00+0000	28.918.236.050.700.700	-13.662.890.813.031.400
Eastern	Myliobatis aquila	2020-08-14T00:00:00+0000	28.856.588.829.942.200	-13.842.935.176.752.500
Eastern	Myliobatis aquila	2020-08-14T00:00:00+0000	28.856.588.829.942.200	-13.842.935.176.752.500
Eastern	Myliobatis aquila	2020-08-28T00:00:00+0000	28.920.075.129.141.600	-13.672.010.913.952.300
Central	Myliobatis aquila	2020-08-29T00:00:00+0000	28.401.449.324.709.300	-16.328.109.453.841.600
Eastern	Myliobatis aquila	2020-09-30T20:15:00+0000	28.043.911.298.715.200	-14.331.650.655.211.000
Eastern	Myliobatis aquila	2020-11-04T00:00:00+0000	28.918.455.826.629.700	-13.663.042.903.276.000
Central	Myliobatis aquila	2020-11-25T00:00:00+0000	28.400.709.859.592.300	-16.330.637.781.840.900
Eastern	Myliobatis aquila	2020-11-17T17:37:00+0000	28.042.951.670.865.400	-14.332.073.641.301.800
Eastern	Myliobatis aquila	2020-12-05T00:00:00+0000	28.918.384.701.071.800	-13.664.061.711.183.300
Central	Myliobatis aquila	2020-12-09T11:42:00+0000	28.179.201.626.064.700	-16.813.695.535.147.100
Eastern	Myliobatis aquila	2020-12-14T10:53:00+0000	28.918.730.517.544.900	-13.663.630.817.885.000
Central	Myliobatis aquila	2020-12-15T00:00:00+0000	28.024.587.651.570.400	-16.713.664.035.796.000
Central	Myliobatis aquila	2020-12-15T00:00:00+0000	28.399.541.848.580.300	-16.319.545.280.307.700
Eastern	Myliobatis aquila	2020-12-30T10:17:00+0000	28.920.838.976.633.200	-13.677.224.566.104.400
Central	Myliobatis aquila	2021-01-27T00:00:00+0000	28.401.506.080.449.300	-16.327.384.271.865.200
Eastern	Myliobatis aquila	2021-02-06T19:56:00+0000	28.042.932.465.868.500	-14.332.542.232.217.500
Eastern	Myliobatis aquila	2021-02-06T11:45:00+0000	28.048.792.153.099.600	-14.356.273.450.109.800
Central	Myliobatis aquila	2021-02-13T00:00:00+0000	28.239.542.281.399.900	-16.402.417.879.965.200
Central	Myliobatis aquila	2021-02-19T00:00:00+0000	28.407.220.616.206.500	-16.311.007.917.245.500
Eastern	Myliobatis aquila	2021-01-03T10:04:00+0000	28.918.042.716.894.600	-13.669.724.326.511.900
Eastern	Myliobatis aquila	2021-03-23T00:00:00+0000	28.851.835.252.891.600	-13.823.089.386.627.100
Eastern	Myliobatis aquila	2021-04-03T00:00:00+0000	28.737.986.508.303.100	-13.812.747.705.741.300
Eastern	Myliobatis aquila	2021-04-21T00:00:00+0000	28.917.589.396.664.600	-13.667.711.271.924.100
Central	Myliobatis aquila	2021-02-20T00:00:00+0000	27.869.607.494.570.100	-15.385.599.646.629.800
Central	Myliobatis aquila	2021-04-10T13:00:00+0000	28.098.602.780.657.100	-15.709.332.518.429.200
