Group	Site	Latitude	Longitude	Location	Habitat	Hard.bottoms	Shelf.area	Depth	Date	Taxa	Abun	Dimensions	Source
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	11	10/8/2011 0:00	NA	0	500	RLS
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	4	10/8/2011 0:00	NA	0	500	RLS
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	25	12/9/2011 0:00	NA	0	500	RLS
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	3	12/9/2011 0:00	NA	0	500	RLS
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	45	12/9/2011 0:00	NA	0	500	RLS
Central	CAN1	28164429	-16428869	Tenerife	Reef	41	280.1	7	12/9/2011 0:00	NA	0	500	RLS
Central	CAN10	2840099	-1632476	Tenerife	Reef	41	280.1	11	10/14/2011 0:00	NA	0	500	RLS
Central	CAN10	2840099	-1632476	Tenerife	Reef	41	280.1	9	10/14/2011 0:00	NA	0	500	RLS
Central	CAN10	2840099	-1632476	Tenerife	Reef	41	280.1	45	12/11/2011 0:00	NA	0	500	RLS
Central	CAN10	2840099	-1632476	Tenerife	Reef	41	280.1	5	12/11/2011 0:00	NA	0	500	RLS
Central	CAN10	2840099	-1632476	Tenerife	Reef	41	280.1	6	8/3/2012 0:00	NA	0	500	RLS
Eastern	CAN100	29276463	-13336351	Lanzarote	Reef	44	1119.8	115	5/24/2015 0:00	NA	0	500	RLS
Eastern	CAN100	29276463	-13336351	Lanzarote	Reef	44	1119.8	127	5/24/2015 0:00	NA	0	500	RLS
Eastern	CAN101	2927546	-13337711	Lanzarote	Reef	44	1119.8	10	5/24/2015 0:00	NA	0	500	RLS
Eastern	CAN101	2927546	-13337711	Lanzarote	Reef	44	1119.8	105	5/24/2015 0:00	NA	0	500	RLS
Eastern	CAN102	29391538	-13495905	Lanzarote	Reef	44	1119.8	85	5/25/2015 0:00	NA	0	500	RLS
Eastern	CAN102	29391538	-13495905	Lanzarote	Reef	44	1119.8	108	6/25/2015 0:00	NA	0	500	RLS
Eastern	CAN103	29383159	-13515383	Lanzarote	Reef	44	1119.8	102	7/25/2015 0:00	NA	0	500	RLS
Eastern	CAN103	29383159	-13515383	Lanzarote	Reef	44	1119.8	103	6/25/2015 0:00	NA	0	500	RLS
Eastern	CAN104	28176558	-14163591	Lanzarote	Reef	44	1119.8	54	5/28/2015 0:00	NA	0	500	RLS
Eastern	CAN104	28176558	-14163591	Lanzarote	Reef	44	1119.8	63	5/28/2015 0:00	NA	0	500	RLS
Western	CAN105	28072934	-14497399	La Palma	Reef	37	87.3	4	5/28/2015 0:00	NA	0	500	RLS
Western	CAN105	28072934	-14497399	La Palma	Reef	37	87.3	53	5/28/2015 0:00	NA	0	500	RLS
Western	CAN106	28321255	-13894814	La Palma	Reef	37	87.3	35	5/28/2015 0:00	NA	0	500	RLS
Western	CAN106	28321255	-13894814	La Palma	Reef	37	87.3	3	5/28/2015 0:00	NA	0	500	RLS
Western	CAN107	28079934	-17331071	La Gomera	Reef	24	83.9	6	5/4/2015 0:00	NA	0	500	RLS
Western	CAN107	28079934	-17331071	La Gomera	Reef	24	83.9	79	5/4/2015 0:00	NA	0	500	RLS
Central	CAN11	285085	-161811	Tenerife	Reef	41	280.1	47	12/8/2011 0:00	NA	0	500	RLS
Central	CAN11	285085	-161811	Tenerife	Reef	41	280.1	5	12/8/2011 0:00	NA	0	500	RLS
Central	CAN12	2814238	-164387	Tenerife	Reef	41	280.1	35	12/10/2011 0:00	NA	0	500	RLS
Central	CAN12	2814238	-164387	Tenerife	Reef	41	280.1	3	12/10/2011 0:00	NA	0	500	RLS
Central	CAN13	28192738	-16422344	Tenerife	Reef	41	280.1	13	12/12/2011 0:00	NA	0	500	RLS
Central	CAN13	28192738	-16422344	Tenerife	Reef	41	280.1	6	12/12/2011 0:00	NA	0	500	RLS
Central	CAN13	28192738	-16422344	Tenerife	Reef	41	280.1	7	12/12/2011 0:00	NA	0	500	RLS
Central	CAN13	28192738	-16422344	Tenerife	Reef	41	280.1	135	12/12/2011 0:00	NA	0	500	RLS
Central	CAN14	278566	-153873	Gran Canaria	Reef	16	412.1	6	12/17/2011 0:00	NA	0	500	RLS
Central	CAN14	278566	-153873	Gran Canaria	Reef	16	412.1	5	12/17/2011 0:00	NA	0	500	RLS
Central	CAN15	28274556	-16383275	Tenerife	Reef	41	280.1	58	1/7/2012 0:00	NA	0	500	RLS
Central	CAN15	28274556	-16383275	Tenerife	Reef	41	280.1	6	1/7/2012 0:00	NA	0	500	RLS
Central	CAN15	28274556	-16383275	Tenerife	Reef	41	280.1	81	1/7/2012 0:00	NA	0	500	RLS
Central	CAN15	28274556	-16383275	Tenerife	Reef	41	280.1	67	1/7/2012 0:00	Myliobatis aquila	2	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	5	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	85	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	41	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	4	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	86	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	51	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	45	1/14/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	52	10/20/2012 0:00	NA	0	500	RLS
Central	CAN16	283416	-169198	Tenerife	Reef	41	280.1	56	10/20/2012 0:00	NA	0	500	RLS
Central	CAN17	283423	-169179	Tenerife	Reef	41	280.1	4	1/14/2012 0:00	NA	0	500	RLS
Central	CAN17	283423	-169179	Tenerife	Reef	41	280.1	61	1/14/2012 0:00	NA	0	500	RLS
Central	CAN17	283423	-169179	Tenerife	Reef	41	280.1	6	1/14/2012 0:00	NA	0	500	RLS
Central	CAN17	283423	-169179	Tenerife	Reef	41	280.1	5	1/14/2012 0:00	NA	0	500	RLS
Central	CAN18	283429	-169213	Tenerife	Reef	41	280.1	3	1/14/2012 0:00	NA	0	500	RLS
Central	CAN18	283429	-169213	Tenerife	Reef	41	280.1	48	1/22/2012 0:00	NA	0	500	RLS
Central	CAN18	283429	-169213	Tenerife	Reef	41	280.1	65	1/22/2012 0:00	NA	0	500	RLS
Central	CAN18	283429	-169213	Tenerife	Reef	41	280.1	6	1/22/2012 0:00	NA	0	500	RLS
Central	CAN19	284013	-163312	Tenerife	Reef	41	280.1	31	2/12/2012 0:00	NA	0	500	RLS
Central	CAN19	284013	-163312	Tenerife	Reef	41	280.1	3	2/12/2012 0:00	NA	0	500	RLS
Central	CAN19	284013	-163312	Tenerife	Reef	41	280.1	5	2/11/2012 0:00	NA	0	500	RLS
Central	CAN19	284013	-163312	Tenerife	Reef	41	280.1	6	2/11/2012 0:00	NA	0	500	RLS
Western	CAN2	278003	-1788635	El Hierro	Reef	72	31.9	17	10/10/2011 0:00	NA	0	500	RLS
Western	CAN2	278003	-1788635	El Hierro	Reef	72	31.9	6	10/10/2011 0:00	NA	0	500	RLS
Western	CAN2	278003	-1788635	El Hierro	Reef	72	31.9	13	10/10/2011 0:00	NA	0	500	RLS
Central	CAN20	284009	-16332	Tenerife	Reef	41	280.1	34	2/24/2012 0:00	NA	0	500	RLS
Central	CAN20	284009	-16332	Tenerife	Reef	41	280.1	5	2/24/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	21	3/3/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	35	3/3/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	2	3/3/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	4	3/3/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	29	9/23/2012 0:00	NA	0	500	RLS
Central	CAN21	28294517	-1637373	Tenerife	Reef	41	280.1	33	9/23/2012 0:00	NA	0	500	RLS
Central	CAN22	2840484	-1631606	Tenerife	Reef	41	280.1	5	3/16/2012 0:00	NA	0	500	RLS
Central	CAN23	2840742	-1631047	Tenerife	Reef	41	280.1	6	3/24/2012 0:00	NA	0	500	RLS
Central	CAN23	2840742	-1631047	Tenerife	Reef	41	280.1	3	3/24/2012 0:00	NA	0	500	RLS
Central	CAN23	2840742	-1631047	Tenerife	Reef	41	280.1	7	3/24/2012 0:00	NA	0	500	RLS
Central	CAN23	2840742	-1631047	Tenerife	Reef	41	280.1	57	3/24/2012 0:00	NA	0	500	RLS
