Group	Species	Abundance				
Eastern	Aetomylaeus bovinus	0				
Central	Aetomylaeus bovinus	3				
Western	Aetomylaeus bovinus	0				
Eastern	Bathytoshia lata	0				
Central	Bathytoshia lata	2				
Western	Bathytoshia lata	0				
Eastern	Dasyatis pastinaca	2				
Central	Dasyatis pastinaca	42				
Western	Dasyatis pastinaca	2				
Eastern	Gymnura altavela	2				
Central	Gymnura altavela	63				
Western	Gymnura altavela	1				
Eastern	Mobula mobular	0				
Central	Mobula mobular	0				
Western	Mobula mobular	1				
Eastern	Myliobatis aquila	1				
Central	Myliobatis aquila	56				
Western	Myliobatis aquila	0				
Eastern	Taeniurops grabata	5				
Central	Taeniurops grabata	28				
Western	Taeniurops grabata	0				
Eastern	Torpedo marmorata	0				
Central	Torpedo marmorata	10				
Western	Torpedo marmorata	0				
